depth,wavelength,luz
1.816852,510,0.001091425
1.816852,683,8.238088e-6
1.830837,443,9.933371e-4
1.830837,510,0.001092426
1.830837,683,8.833395e-6
1.846615,443,9.965883e-4
1.846615,510,0.001091711
1.846615,683,1.032467e-5
1.868843,443,9.860357e-4
1.868843,510,0.001086157
1.868843,683,1.086586e-5
1.886592,443,9.878702e-4
1.886592,510,0.001090996
1.886592,683,1.06554e-5
1.895733,443,9.893051e-4
1.895733,510,0.001082104
1.895733,683,8.905554e-6
1.905209,443,9.882697e-4
1.905209,510,0.00108728
1.905209,683,6.656616e-6
1.916254,443,9.830751e-4
1.916254,510,0.001082482
1.916254,683,1.226693e-5
1.931138,443,9.890326e-4
1.931138,510,0.001084942
1.931138,683,7.787098e-6
1.946746,443,9.803326e-4
1.946746,510,0.001077776
1.946746,683,1.291636e-5
1.962691,443,9.788433e-4
1.962691,510,0.001079154
1.962691,683,7.582649e-6
1.978299,443,9.764821e-4
1.978299,510,0.001082921
1.978299,683,1.054114e-5
1.989903,443,9.774085e-4
1.989903,510,0.001072467
1.989903,683,1.221281e-5
2.002918,443,9.693442e-4
2.002918,510,0.00107751
2.002918,683,1.230301e-5
2.018508,443,9.708517e-4
2.018508,510,0.001077265
2.018508,683,1.297649e-5
2.034401,443,9.705792e-4
2.034401,510,0.001077755
2.034401,683,9.85564e-6
2.050148,443,9.803508e-4
2.050148,510,0.001073958
2.050148,683,8.911567e-6
2.068472,443,9.639317e-4
2.068472,510,0.00107699
2.068472,683,1.35718e-5
2.085901,443,9.803143e-4
2.085901,510,0.001066383
2.085901,683,8.141877e-6
2.104886,443,9.659115e-4
2.104886,510,0.00106526
2.104886,683,8.304234e-6
2.124366,443,9.632051e-4
2.124366,510,0.001066526
2.124366,683,9.915772e-6
2.143894,443,9.696712e-4
2.143894,510,0.001062054
2.143894,683,9.70531e-6
2.16331,443,9.64077e-4
2.16331,510,0.001069282
2.16331,683,1.295845e-5
2.186102,443,9.655118e-4
2.186102,510,0.001065607
2.186102,683,7.805138e-6
2.21136,443,9.555405e-4
2.21136,510,0.001063044
2.21136,683,1.159346e-5
2.235339,443,9.511634e-4
2.235339,510,0.001053499
2.235339,683,1.343951e-5
2.258936,443,9.560127e-4
2.258936,510,0.001053274
2.258936,683,7.203818e-6
2.28177,443,9.469495e-4
2.28177,510,0.001053918
2.28177,683,1.087187e-5
2.302512,443,9.463865e-4
2.302512,510,0.001053336
2.302512,683,9.170134e-6
2.324293,443,9.417186e-4
2.324293,510,0.001046731
2.324293,683,1.140705e-5
2.34578,443,9.517445e-4
2.34578,510,0.001056061
2.34578,683,7.408266e-6
2.365937,443,9.445521e-4
2.365937,510,0.001057134
2.365937,683,1.02946e-5
2.384083,443,9.34054e-4
2.384083,510,0.001053652
2.384083,683,1.089592e-5
2.405786,443,9.383908e-4
2.405786,510,0.00104574
2.405786,683,1.196627e-5
2.426448,443,9.280214e-4
2.426448,510,0.00104327
2.426448,683,1.101018e-5
2.442072,443,9.414745e-4
2.442072,510,0.001043586
2.442072,683,1.005408e-5
2.454821,443,9.367966e-4
2.454821,510,0.001039656
2.454821,683,1.063134e-5
2.467844,443,9.353255e-4
2.467844,510,0.001040074
2.467844,683,7.708927e-6
2.476804,443,9.201414e-4
2.476804,510,0.001043464
2.476804,683,8.129849e-6
2.485931,443,9.223209e-4
2.485931,510,0.001043903
2.485931,683,8.346326e-6
2.493658,443,9.320743e-4
2.493658,510,0.001040105
2.493658,683,1.159346e-5
2.503838,443,9.290048e-4
2.503838,510,0.001041095
2.503838,683,8.105798e-6
2.511503,443,9.26789e-4
2.511503,510,0.001046526
2.511503,683,1.049304e-5
2.512243,443,9.248093e-4
2.512243,510,0.00103938
2.512243,683,9.134055e-6
2.509522,443,9.294952e-4
2.509522,510,0.001038696
2.509522,683,7.053487e-6
2.506844,443,9.266799e-4
2.506844,510,0.001043739
2.506844,683,8.424498e-6
2.506476,443,9.269342e-4
2.506476,510,0.001042208
2.506476,683,9.122029e-6
2.505596,443,9.230837e-4
2.505596,510,0.001039778
2.505596,683,6.349942e-6
2.504958,443,9.276245e-4
2.504958,510,0.00104281
2.504958,683,1.008414e-5
2.503616,443,9.267344e-4
2.503616,510,0.001035337
2.503616,683,8.382406e-6
2.505731,443,9.298221e-4
2.505731,510,0.001042769
2.505731,683,7.420293e-6
2.511288,443,9.386492e-4
2.511288,510,0.001032173
2.511288,683,1.126874e-5
2.515923,443,9.369418e-4
2.515923,510,0.001040432
2.515923,683,7.083553e-6
2.513425,443,9.298039e-4
2.513425,510,0.001034347
2.513425,683,1.142509e-5
2.511093,443,9.376502e-4
2.511093,510,0.001036624
2.511093,683,1.037879e-5
2.509363,443,9.184523e-4
2.509363,510,0.001042198
2.509363,683,8.214035e-6
2.510433,443,9.298222e-4
2.510433,510,0.001040115
2.510433,683,9.21824e-6
2.512781,443,9.284054e-4
2.512781,510,0.001040187
2.512781,683,1.073958e-5
2.518564,443,9.263348e-4
2.518564,510,0.001051406
2.518564,683,8.983724e-6
2.524736,443,9.343083e-4
2.524736,510,0.00103643
2.524736,683,8.556788e-6
2.52902,443,9.269342e-4
