depth,wavelength,luz
0.84,510,0.0012295553065592674
0.84,683,1.3227390647464313e-5
0.85,443,0.0011831106871419178
0.85,510,0.0012283444998916735
0.85,683,1.3195625325293833e-5
0.86,443,0.0011813731481917723
0.86,510,0.0012271365924442237
0.86,683,1.3164044176778277e-5
0.87,443,0.0011796412605838851
0.87,510,0.0012259315771300338
0.87,683,1.3132646005125128e-5
0.88,443,0.0011779150052692049
0.88,510,0.0012247294468772944
0.88,683,1.3101429620048423e-5
0.89,443,0.0011761943632621387
0.89,510,0.0012235301946290306
0.89,683,1.3070393837684746e-5
0.9,443,0.0011744793156402396
0.9,510,0.0012223338133432809
0.9,683,1.3039537480520101e-5
0.91,443,0.0011727698435436034
0.91,510,0.0012211402959925522
0.91,683,1.3008859377305793e-5
0.92,443,0.0011710659281744772
0.92,510,0.0012199496355642981
0.92,683,1.2978358362990565e-5
0.93,443,0.0011693675507970637
0.93,510,0.001218761825060202
0.93,683,1.2948033278633696e-5
0.9400000000000001,443,0.001167674692736615
0.9400000000000001,510,0.001217576857496675
0.9400000000000001,683,1.2917882971336497e-5
0.9500000000000001,443,0.0011659873353795053
0.9500000000000001,510,0.0012163947259041864
0.9500000000000001,683,1.2887906294160328e-5
0.96,443,0.0011643054601723918
0.96,510,0.0012152154233276988
0.96,683,1.2858102106053399e-5
0.97,443,0.0011626290486220266
0.97,510,0.0012140389428261168
0.97,683,1.2828469271776579e-5
0.98,443,0.0011609580822946918
0.98,510,0.0012128652774724663
0.98,683,1.2799006661827252e-5
0.99,443,0.001159292542815863
0.99,510,0.001211694420353713
0.99,683,1.2769713152362675e-5
1,443,0.0011576324118696636
1,510,0.0012105263645706384
1,683,1.2740587625131312e-5
1.02,443,0.001154328302602552
1.02,510,0.0012081986294830301
1.02,683,1.268283607184683e-5
1.04,443,0.001151045609123677
1.04,510,0.0012058820172888413
1.04,683,1.262574316491021e-5
1.06,443,0.0011477841869742987
1.06,510,0.001203576473281747
1.06,683,1.2569300151982866e-5
1.08,443,0.0011445438925925028
1.08,510,0.0012012819429671339
1.08,683,1.2513498363151338e-5
1.1,443,0.0011413245832988222
1.1,510,0.0011989983720584493
1.1,683,1.2458329208647512e-5
1.12,443,0.001138126117282026
1.12,510,0.0011967257064740362
1.12,683,1.2403784176601551e-5
1.1400000000000001,443,0.0011349483535848088
1.1400000000000001,510,0.0011944638923336035
1.1400000000000001,683,1.234985483081464e-5
1.16,443,0.001131791152089076
1.16,510,0.0011922128759550724
1.16,683,1.2296532808565606e-5
1.18,443,0.0011286543735015738
1.18,510,0.0011899726038508982
1.18,683,1.224380981843955e-5
1.2,443,0.001125537879339161
1.2,510,0.001187743022724824
1.2,683,1.2191677638189813e-5
1.22,443,0.0011224415319140552
1.22,510,0.001185524079468303
1.22,683,1.2140128112626263e-5
1.24,443,0.0011193651943189609
1.24,510,0.001183315721157021
1.24,683,1.2089153151536274e-5
1.26,443,0.0011163087304120367
1.26,510,0.001181117895047349
1.26,683,1.203874472763673e-5
1.28,443,0.001113272004801736
1.28,510,0.0011789305485727477
1.28,683,1.1988894874556595e-5
1.3,443,0.0011102548828314865
1.3,510,0.0011767536293402834
1.3,683,1.1939595684860219e-5
1.32,443,0.0011072572305644952
1.32,510,0.001174587085126739
1.32,683,1.1890839308100196e-5
1.34,443,0.0011042789147677008
1.34,510,0.001172430863875167
1.34,683,1.1842617948909536e-5
1.3599999999999999,443,0.001101319802896562
1.3599999999999999,510,0.0011702849136911715
1.3599999999999999,683,1.1794923865136492e-5
1.38,443,0.0010983797630785496
1.38,510,0.0011681491828388244
1.38,683,1.1747749366017526e-5
1.4,443,0.0010954586640973506
1.4,510,0.0011660236197371548
1.4,683,1.1701086810394199e-5
1.42,443,0.0010925563753764328
1.42,510,0.0011639081729562639
1.42,683,1.1654928604977803e-5
1.44,443,0.0010896727669623555
1.44,510,0.0011618027912132138
1.44,683,1.1609267202662633e-5
1.46,443,0.0010868077095079677
1.46,510,0.0011597074233683049
1.46,683,1.1564095100885422e-5
1.48,443,0.0010839610742554612
1.48,510,0.0011576220184208333
1.48,683,1.1519404840045294e-5
1.5,443,0.001081132733018884
1.5,510,0.0011555465255051764
1.5,683,1.147518900197503e-5
1.52,443,0.001078322558166599
1.52,510,0.0011534808938864912
1.52,683,1.1431440208473531e-5
1.54,443,0.001075530422603288
1.54,510,0.00115142507295672
1.54,683,1.1388151119899933e-5
1.56,443,0.001072756199751741
1.56,510,0.0011493790122300944
1.56,683,1.1345314433834571e-5
1.58,443,0.001069999763534292
1.58,510,0.0011473426613388736
1.58,683,1.1302922883805644e-5
1.6,443,0.0010672609883539234
1.6,510,0.0011453159700290027
1.6,683,1.1260969238088062e-5
1.62,443,0.0010645397490748475
1.62,510,0.0011432988881554416
1.62,683,1.1219446298577771e-5
1.6400000000000001,443,0.0010618359210029492
1.6400000000000001,510,0.0011412913656777635
1.6400000000000001,683,1.1178346899740852e-5
1.6600000000000001,443,0.0010591493798655382
1.6600000000000001,510,0.0011392933526552622
1.6600000000000001,683,1.1137663907641947e-5
